tale_id,gold_status,collection,volume_no,source_ref,rights_status,content_description,set,sampling_version,local_type_scheme,local_type,mapping_status,mapping_relation,type_count,atu_labels,atu_labels_json
rkm_vene_1_82_47,ok,"RKM, Vene",1,"RKM, Vene 1, 82/103 (47)",open,"[Царевич Иван не может найти себе невесту. Три дочки попа вышли поласкать бельё, беседуют об Иване Царевиче и общают чтобы они сделали, если он на них женится; младшая обещает трёх сыновей - ноги в золоте, руки в серебре, в затылке месяц, во лбу солнышко, звёзды в волосах. Царевич жениться на младшей по совету бояр, старшие сёстры тоже набиваются во дворец._x000D_
Жена рожает обещанного сына, его отсылают змее и заменяют на щенка. Второго сына заменяют на котёнка, третьего - на простого ребёнка. Царь велит посадить жену и ребёнка в бочку и пустить по морю. Тридцать лет спустя, выплывают на остров, ветер ""надувает"" город по просьбе сына. Корабельщики рассказывают царю про новый город, сын прилетает с ними обратившись соколом, новая жена царя не хочет ехать смотреть новый город, рассказывая о ""лучшей"" диковинке._x000D_
На третьй приезд новая жена говорит о трёх чудесных сыновьях. По возвращении, сын просит мать замесить хлеб на её грудном молоке, берёт тапор и дубину, идёт искать братьев. Оставляет куски хлеба на трёх перекрёстках, приходит к избушке на курьих ножках, ест и залезает под печку. Братья возвращаются в избушку принося куски хлеба. Вчетвером убегают от змеи, три раза слышат погоню и избавляются от неё с помощью топора и дубинки. Царь приежает на остров, воссоединяется с семьёй; новую жену разрывают 12 жеребцов.]",core,v1_20251230,,,not_needed_native_atu,exact,6,['707'],"[""707""]"
tru_vkk_12_44_1,ok,"TRÜ, VKK",12,"TRÜ, VKK 12, 44/67 (1)",restricted_anon,"[У купца три дочки и сын. Часто гуляют в саду, но перестают, когда родители умирают. Один день всё таки идут в сад - ветер уносит старшую дочку, с другими сёстрами тоже. Брат решает идти искать сестёр, и может быть, женится на Елене Прекрасной._x000D_
Отправляется в путь, видит медный дворец без дверей, его привечает младшая сестра и прячет от мужа-орла. Орёл наплавляет к среднему брату и даёт перо. По дороге Иван встречает собаку, которая обещает оказать услугу, если не съест щенка._x000D_
У серебряного дворца привечает средняя сестра, муж, тоже орёл направляет к старшему брату, даёт перо. По дороге Иван встречает гусыню, которая обещает оказать услугу, если не съест гусёнка._x000D_
Всё повторяется в золотом дворце у старшего орла. Ивана направляют к Бабе-Яге пасти кобылу, чтобы получить жеребёнка. По дороге видит улей, пчела обещает пригодиться, если не съест мёд._x000D_
Иван приходит к Яге, та велит пасти кобылу-дочку. Яга говорит дочке завести Ивана в лес, чтобы он её не нашёл, даёт Ивану краюху хлеба. Иван съедает хлеб, засыпает, кобыла убегает, собака пригоняет кобылу. На следующие два раза тоже, но с гусыней и пчёлами. В награду, Яга выводит красивого жеребца, Иван берёт замухрышку. В пути жеребёнок три раза просится к матери, Иван отпускает, жеребёнок каждый раз возвращается сильнее._x000D_
Иван встречает богатыря Данилу Белого, они бьются, Иван умирает. Прилетают орлы, оживляют его с помощью мёртвой и живой воды. Иван едет дальше, видит поле битвы. Под курганом лежит живая голова, от которой получает меч, чтобы убить змея, который во дворец с Еленой. Голова просит смазать её сердце змея, чтобы ожить._x000D_
Иван сбивает у змея только среднюю голову, вырезает сердце и едет во дворец. Забирает Елену, оживляет богатыря, который оказывается Данилой.]",core,v1_20251230,,,not_needed_native_atu,exact,4,"['552', '556F*', '554', '301']","[""552"", ""556F*"", ""554"", ""301""]"
tru_vkk_13_23_2,ok,"TRÜ, VKK",13,"TRÜ, VKK 13, 23/6 (2)",restricted_anon,"Былица про Беса. [Бес разбивает деду руку о столб у кладбища. Дед ловит беса в рукомойник, одевает на беса крест. Дед идёт в церковь - бес рядом, народ его не видит.
Дед и бес ходят в кабак вино пить. Бес требует работу. Камни с берега ворочить не может. Дед посылает с песка цепь свить - не получается; ладью перевернуть на берегу.
Поехали ловить рыбу, бес советует, где лучше лов. Бес работает на деда три года, просит отпустить. Дед снимает крест, бес пропадает. Поп отчитывает проклятье, чтобы беса никто больше не видел.]",core,v1_20251230,,,not_needed_native_atu,exact,2,"['331', '1174', '1168']","[""331"", ""1174"", ""1168""]"
tru_vkk_13_31_2,ok,"TRÜ, VKK",13,"TRÜ, VKK 13, 31/46 (2)",restricted_anon,"[Царь продаёт сына дьяволу, потому что не знает о его рождении. Царевич жениться на Марусе-царевне. Возвратившись домой, забывает её и женится снова, голуби напоминают о Марусе, он возвращется к ней.]",core,v1_20251230,,,not_needed_native_atu,exact,2,['313'],"[""313""]"
tru_vkk_13_59_4,ok,"TRÜ, VKK",13,"TRÜ, VKK 13, 59/80 (4)",restricted_anon,"[Младший брат, Иван-царевич выдает сестёр за ворона, сокола и орла. Идёт искать сестёр. Приходит к старшей, даёт ей платок - если нальётся кровь, то Иван погиб. Средней даёт стакан, младшей гусли с той же целью. _x000D_
Видит поле брани, говорят, что виной Марья-Мария прекрасная королева. Поздже видит Иван посётся лошадь, рядом спит Марья. Думает убить, но передумывает и ложится рядом. Марья просыпается, думает убить Ивана, но передумывает, потому что он не сделал того же._x000D_
Иван и Малья идут к ней вдом, она даёт ему ключи, запрещает ходить в одну из комнат. Иван идёт туда - там весит змей, вокруг него три бочки воды. Змей просит напится из каждой бочки, Иван даёт, змей срывается с цепей._x000D_
Иван и Марья едут на родину Иван, змей следом - отрубает Ивану голову. У сестёр наливаются вещи кровью, ворон, сокол и орёл ловят голубя, чтобы тот принёс живой и мёртвой воды. Оживляют Ивана._x000D_
Марья велит идти к бабушке за конём, не убивать комаров, мух, слепней, что будут жалить, они потом помогут. Иван пасёт бабьих коней в поле, кони разбегаются, комары, мухи, слепни сгоняют._x000D_
Марья и Иван садятся на Коня-Горбунка, скачут на родину, змей их догнать не может._x000D_
справляется с ним на Коне-Горбунке, следуя советам Марьи].",core,v1_20251230,,,not_needed_native_atu,exact,4,"['552', '302C*', '554', '556F*']","[""552"", ""302C*"", ""554"", ""556F*""]"
tru_vkk_29_54_68,ok,"TRÜ, VKK",29,"TRÜ, VKK 29, 54/67 (68)",restricted_anon,"Сказка о Бове Королевиче. [Царь Вислаф Андронович уежает к любовнице, жена рожает сына Бову. Жена и её любовник, решают убить мальчика и заперают его в подвале. Няня жалеет его, и приносит ему хлеб, но предупреждает, что он отравлен. Боба сбегает, потому что няня не запирает двери погреба._x000D_
Попадает к разбойникам, награбленное сплавляли на корабле, куда Боба напросился. Корабли сбивается с курса и попадает в незнакомые земли, местная стража пытается выяснить кто пожаловал, но Боба-мальчик их заговаривает. Местный царь Афрон покупает мальчика у разбойников и делает его конюхом. После нескольких лет службы, царская дочка обращает на него внимание и Бобу берут в прислуги._x000D_
В царство приходит неприятель - хочет взять царевну в жёны и сжечь царство. Бова  побеждает неприятеля с матыгой и пихалкой для навоза, от награды отказывается и продолжает прикидывается простолюдином._x000D_
Приходит второй богатырь сватать царевну, Боба хочеть сразиться, но царь говорить что без коня нельзя. Коня держут в цепях за двенадцатью замками. Бова кличет коня, том сам ломает оставшиеся шесть замков и цепи. Берёт меч в 50 пудов и разрубает богатыря. Афрон оставляет Бову за сына. Завистливые конюхи посылают Бову к царю Долмату, который кидает его в подвал. Боба сбегает. Царевна в плену у Долмата, Бова идёт к ней как нищий, обещает привести к ней королевича, молодые встречаются в лесу и убегают от Долмата.]",core,v1_20251230,SUS,707B*,mapped_from_local,broad,6,['707'],"[""707""]"
rkm_vene_1_236_5,ok,"RKM, Vene",1,"RKM, Vene 1, 236/44  (5)",open,Сказка о мертвой царевне и семи багатырях. [по сказке А. С. Пушкина],coverage,v1_20251230,,,not_needed_native_atu,exact,1,['709'],"[""709""]"
tru_vkk_25_120_23,ok,"TRÜ, VKK",25,"TRÜ, VKK 25, 120/4 (23)",restricted_anon,"[Мачеха говорит мужу избаться от трёх дочек. Отец отвёл их в лес, рубит топором дрова, дочки собирают ягоды. Отец повесил на топор халат - девочки думают, что отец рубит дрова, а он их одних оставил. Девочки стали плакать, из их слёз потекла река. Пришли к незнакомой речке рыболовы, дочки просятся замуж, обещают хлеб и пироги из одного колоса; штаны и рубашку из одной льнины; сына ручки-ножки золотые, во лбу месяц, в душе солнце. Рыболов женится на младшей._x000D_
Рыболов уезжает в Ленинград, жена сообщает о рождении обещенного сына в письме, которые перехватывают сёстры, написав что родилось то, незнамо что._x000D_
Жена кладёт сына в дубовую бочку и опускает в реку. Бочку ловят рыболовы._x000D_
После десяти лет возвращается Иван из Ленинграда домой, жена рассказывает о письме, решает найти сына. Просит у жены нацедить грудного молока и сделать из  него ?хлеб. Иван приходит к разным пастухам, находит сына, когда он снимает перчатки сосчитать орешки.]",coverage,v1_20251230,,,not_needed_native_atu,exact,1,"['327A', '707']","[""327A"", ""707""]"
era_vene_13_635_20,ok,"ERA, Vene",13,"ERA, Vene 13, 635/8 (20)",open,"[Два друга обещают позвать друг друга на свадьбу, когда женятся. Один из них умирает. Другой едет жениться мимо кладбища, идёт на могулу попрощаться. Там сидит покойный друг, благодарит, что навестил. Живой возвращается, а свадебный поезд пропал. Поздже оказывается, что он был на кладбище не 10 минут, а 60 лет, и что сам он и его невеста уже старики.]",coverage,v1_20251230,,,not_needed_native_atu,exact,1,['470'],"[""470""]"
era_vene_1_515_1,ok,"ERA, Vene",1,"ERA, Vene 1, 515/6 (1)",open,"[По пьяне мужик спорит, что сможет принести ночью с каменки камень. Идёт в баню, берёт камень, его кто-то хватает за руку. Слышит голос девушки, которая говорит, что отпустит, только если замуж возьмёт. Мужик соглашается, девушка отпускает._x000D_
Через время девушка является ему во сне, мучает его. Свадебный поезд останавливается у бани, выводят невесту из-под пола. Проклятая невеста не идёт в церковь. Говорит, что пусть поп кинет своего ребёнка в печь, потому что это подмёныш чертей, которые её в бани засадили. Поп слушается, мужик и проклятая девушка женятся.]",coverage,v1_20251230,EE,424*,mapped_from_local,broad,1,['410'],"[""410""]"
era_vene_13_73_9,ok,"ERA, Vene",13,"ERA, Vene 13, 73/9 (9)",open,[Корова помогает дочке выполнять задания мачехи].,coverage,v1_20251230,,,not_needed_native_atu,exact,1,['511'],"[""511""]"
era_vene_13_272_23,ok,"ERA, Vene",13,"ERA, Vene 13, 272/93 (23)",open,"В рыболовецкой деревне жил богач с семьёй. Но из года в год сети пустые, обеднел рыбак, и жена его с тоски померла. Рыбак ничему сына не учит, только рыбачит безрезультатно. Рыбак умирает, сыну надо его хоронить. Он идёт за помощью к богатому соседу - бесполезно; идёт за советом к бедному, тот посылает его к попу. Справляют похороны._x000D_
От сына требуют возврата отцовских долгов, он раздаёт вещи в избе. Приходит богач за долгом, ему достаются образа - всё остальное забрали, но образ Миколы Чудотворца сын Ваня просит оставить и молится иконе о помощи._x000D_
Утром приходит старичок, просит краюху хлеба. Делят с Ваней последний хлеб. Ваня просит старичка остаться и научить его жить. Старичок соглашается, если они всё будут делить пополам. Старичок ведёт хозяйство, Ваня всю зиму лежит на печи. По весне старичок велит ваня делять кирпичи, сломать сени, делают плот. Сквозь бурю довозят кирпичи на плоту на ярмарку. Платить за пристань нечем, Ваня идёт к царю попросить об отмене платы. Царь просит почитать псалтырь по умершей дочке-_x000D_
колдовке. Старичок учит, как от неё защититься. На третью ночь Ваня одевает на колдунью крест и заставляет молиться._x000D_
Ваня женится на царевне и получает богатое приданое. Теперь всё надо делить со стариком, золото разделили, с женой сложнее. Старичок велит поставить жену в угол и разрубить топором, Ваня слушается. Выбегают два козла - черти, что в жене сидели. Старичок благодарить Ваню за то, что обратился к нему с молитвой.",coverage,v1_20251230,,,not_needed_native_atu,exact,1,"['849*', '307']","[""849*"", ""307""]"
